Date,PeriodNum,HDigit,TDigit,Digit
2015-07-13,2015187,8,7,8
2015-07-14,2015188,6,6,3
2015-07-15,2015189,2,2,4
2015-07-16,2015190,4,0,8
2015-07-17,2015191,7,1,3
2015-07-18,2015192,7,7,4
2015-07-19,2015193,4,1,6
2015-07-20,2015194,6,5,1
2015-07-21,2015195,7,8,1
2015-07-22,2015196,8,1,3
2015-07-23,2015197,5,8,0
2015-07-24,2015198,5,7,7
2015-07-25,2015199,1,3,1
2015-07-26,2015200,5,5,3
2015-07-27,2015201,9,0,5
2015-07-28,2015202,9,2,5
2015-07-29,2015203,9,8,8
2015-07-30,2015204,6,4,4
2015-07-31,2015205,3,1,3
2015-08-01,2015206,0,9,0
2015-08-02,2015207,6,3,5
2015-08-03,2015208,2,5,3
2015-08-04,2015209,5,4,7
2015-08-05,2015210,5,0,8
2015-08-06,2015211,7,0,1
2015-08-07,2015212,8,9,6
2015-08-08,2015213,2,0,5
2015-08-09,2015214,2,4,1
2015-08-10,2015215,2,1,6
2015-08-11,2015216,0,5,3
2015-08-12,2015217,3,6,5
2015-08-13,2015218,1,9,9
2015-08-14,2015219,5,6,6
2015-08-15,2015220,8,8,4
2015-08-16,2015221,0,6,5
2015-08-17,2015222,5,5,0
2015-08-18,2015223,8,0,1
2015-08-19,2015224,8,1,0
2015-08-20,2015225,2,3,4
2015-08-21,2015226,1,4,5
2015-08-22,2015227,1,8,7
2015-08-23,2015228,2,9,0
2015-08-24,2015229,6,7,1
2015-08-25,2015230,9,5,2
2015-08-26,2015231,6,8,3
2015-08-27,2015232,8,1,1
2015-08-28,2015233,4,3,2
2015-08-29,2015234,4,5,4
2015-08-30,2015235,1,0,7
2015-08-31,2015236,2,6,4
2015-09-01,2015237,1,0,7
2015-09-02,2015238,2,6,7
2015-09-03,2015239,8,9,9
2015-09-04,2015240,4,6,2
2015-09-05,2015241,9,5,7
2015-09-06,2015242,7,6,4
2015-09-07,2015243,8,9,9
2015-09-08,2015244,8,8,7
2015-09-09,2015245,8,3,1
2015-09-10,2015246,3,1,3
2015-09-11,2015247,4,9,8
2015-09-12,2015248,9,9,5
2015-09-13,2015249,3,1,9
2015-09-14,2015250,8,7,3
2015-09-15,2015251,6,6,8
2015-09-16,2015252,9,6,7
2015-09-17,2015253,5,1,4
2015-09-18,2015254,1,7,8
2015-09-19,2015255,8,3,5
2015-09-20,2015256,7,2,2
2015-09-21,2015257,8,8,9
2015-09-22,2015258,5,5,5
2015-09-23,2015259,0,6,4
2015-09-24,2015260,1,1,8
2015-09-25,2015261,3,2,0
2015-09-26,2015262,9,6,3
2015-09-27,2015263,0,8,2
2015-09-28,2015264,9,1,4
2015-09-29,2015265,0,1,9
2015-09-30,2015266,7,5,2
2015-10-01,2015267,7,8,7
2015-10-02,2015268,3,3,4
2015-10-03,2015269,7,7,7
2015-10-04,2015270,7,0,5
2015-10-05,2015271,1,9,1
2015-10-06,2015272,8,2,8
2015-10-07,2015273,7,9,0
2015-10-08,2015274,7,5,5
2015-10-09,2015275,4,4,6
2015-10-10,2015276,0,1,1
2015-10-11,2015277,7,0,6
2015-10-12,2015278,8,4,5
2015-10-13,2015279,6,1,2
2015-10-14,2015280,9,8,1
2015-10-15,2015281,1,4,4
2015-10-16,2015282,8,6,4
2015-10-17,2015283,9,1,5
2015-10-18,2015284,5,7,7
2015-10-19,2015285,5,0,8
2015-10-20,2015286,0,2,0
2015-10-21,2015287,9,7,7
2015-10-22,2015288,9,9,9
2015-10-23,2015289,6,9,6
2015-10-24,2015290,7,9,5
2015-10-25,2015291,8,9,6
2015-10-26,2015292,1,0,0
2015-10-27,2015293,9,2,0
2015-10-28,2015294,6,2,8
2015-10-29,2015295,2,3,2
2015-10-30,2015296,3,6,1
2015-10-31,2015297,8,8,8
2015-11-01,2015298,2,3,6
2015-11-02,2015299,6,5,7
2015-11-03,2015300,2,5,6
2015-11-04,2015301,2,7,1
2015-11-05,2015302,1,2,0
2015-11-06,2015303,4,7,5
2015-11-07,2015304,7,5,1
2015-11-08,2015305,6,0,2
2015-11-09,2015306,3,9,2
2015-11-10,2015307,4,7,3
2015-11-11,2015308,8,4,9
2015-11-12,2015309,8,9,9
2015-11-13,2015310,5,1,6
2015-11-14,2015311,6,5,6
2015-11-15,2015312,3,1,8
2015-11-16,2015313,0,0,8
2015-11-17,2015314,0,1,0
2015-11-18,2015315,4,0,3
2015-11-19,2015316,8,6,9
2015-11-20,2015317,6,2,8
2015-11-21,2015318,1,1,1
2015-11-22,2015319,8,6,0
2015-11-23,2015320,7,8,5
2015-11-24,2015321,2,8,6
2015-11-25,2015322,9,3,9
2015-11-26,2015323,7,6,4
2015-11-27,2015324,6,9,8
2015-11-28,2015325,6,0,7
2015-11-29,2015326,8,1,8
2015-11-30,2015327,8,1,9
2015-12-01,2015328,3,7,3
2015-12-02,2015329,4,5,1
2015-12-03,2015330,3,6,9
2015-12-04,2015331,0,7,0
2015-12-05,2015332,4,3,4
2015-12-06,2015333,9,8,0
2015-12-07,2015334,2,6,1
2015-12-08,2015335,9,9,6
2015-12-09,2015336,3,6,9
2015-12-10,2015337,6,2,4
2015-12-11,2015338,2,5,4
2015-12-12,2015339,0,1,4
2015-12-13,2015340,0,7,9
2015-12-14,2015341,0,7,0
2015-12-15,2015342,6,4,2
2015-12-16,2015343,6,5,5
2015-12-17,2015344,1,3,4
2015-12-18,2015345,6,1,2
2015-12-19,2015346,2,2,9
2015-12-20,2015347,2,3,2
2015-12-21,2015348,9,9,7
2015-12-22,2015349,6,8,0
2015-12-23,2015350,4,6,1
2015-12-24,2015351,9,9,3
2015-12-25,2015352,4,3,8
2015-12-26,2015353,3,9,1
2015-12-27,2015354,3,5,6
2015-12-28,2015355,3,4,4
2015-12-29,2015356,4,7,5
2015-12-30,2015357,2,5,8
2015-12-31,2015358,2,6,1
2016-01-01,2016001,8,7,9
2016-01-02,2016002,2,7,3
2016-01-03,2016003,1,5,9
2016-01-04,2016004,6,7,1
2016-01-05,2016005,5,8,1
2016-01-06,2016006,7,0,9
2016-01-07,2016007,9,5,2
2016-01-08,2016008,5,8,3
2016-01-09,2016009,3,5,3
2016-01-10,2016010,8,0,2
2016-01-11,2016011,8,1,5
2016-01-12,2016012,1,8,0
2016-01-13,2016013,3,2,4
2016-01-14,2016014,9,3,8
2016-01-15,2016015,3,4,9
2016-01-16,2016016,4,4,7
2016-01-17,2016017,5,3,1
2016-01-18,2016018,5,6,3
2016-01-19,2016019,2,7,8
2016-01-20,2016020,5,2,1
2016-01-21,2016021,6,9,9
2016-01-22,2016022,9,1,6
2016-01-23,2016023,7,2,9
2016-01-24,2016024,6,2,4
2016-01-25,2016025,1,1,0
2016-01-26,2016026,3,2,4
2016-01-27,2016027,2,8,0
2016-01-28,2016028,4,1,6
2016-01-29,2016029,0,2,6
2016-01-30,2016030,2,9,3
2016-01-31,2016031,5,9,2
2016-02-01,2016032,7,7,8
2016-02-02,2016033,3,8,7
2016-02-03,2016034,6,0,6
2016-02-04,2016035,9,8,1
2016-02-05,2016036,9,6,8
2016-02-06,2016037,4,6,8
2016-02-14,2016038,9,6,0
2016-02-15,2016039,2,4,8
2016-02-16,2016040,1,4,3
2016-02-17,2016041,5,1,9
2016-02-18,2016042,7,0,1
2016-02-19,2016043,5,5,7
2016-02-20,2016044,0,1,0
2016-02-21,2016045,6,9,2
2016-02-22,2016046,3,8,3
2016-02-23,2016047,6,0,6
2016-02-24,2016048,8,5,1
2016-02-25,2016049,7,3,9
2016-02-26,2016050,7,3,1
2016-02-27,2016051,5,2,8
2016-02-28,2016052,6,4,1
2016-02-29,2016053,9,4,9
2016-03-01,2016054,3,2,8
2016-03-02,2016055,5,5,3
2016-03-03,2016056,9,4,1
2016-03-04,2016057,5,4,3
2016-03-05,2016058,1,2,6
2016-03-06,2016059,7,4,1
2016-03-07,2016060,0,3,9
2016-03-08,2016061,7,5,4
2016-03-09,2016062,8,0,3
2016-03-10,2016063,3,5,6
2016-03-11,2016064,0,6,2
2016-03-12,2016065,4,5,0
2016-03-13,2016066,1,8,1
2016-03-14,2016067,0,0,1
2016-03-15,2016068,0,7,5
2016-03-16,2016069,6,4,3
2016-03-17,2016070,8,9,6
2016-03-18,2016071,6,5,0
2016-03-19,2016072,0,2,0
2016-03-20,2016073,8,1,5
2016-03-21,2016074,7,7,7
2016-03-22,2016075,8,4,5
2016-03-23,2016076,6,4,4
2016-03-24,2016077,7,1,7
2016-03-25,2016078,9,0,8
2016-03-26,2016079,0,7,5
2016-03-27,2016080,2,6,1
2016-03-28,2016081,6,3,5
2016-03-29,2016082,6,4,0
2016-03-30,2016083,2,8,9
2016-03-31,2016084,2,8,2
2016-04-01,2016085,9,6,7
2016-04-02,2016086,2,4,9
2016-04-03,2016087,0,9,9
2016-04-04,2016088,4,7,3
2016-04-05,2016089,1,1,1
2016-04-06,2016090,9,5,4
2016-04-07,2016091,4,0,5
2016-04-08,2016092,8,7,5
2016-04-09,2016093,6,2,2
2016-04-10,2016094,8,2,4
2016-04-11,2016095,7,0,4
2016-04-12,2016096,3,4,8
2016-04-13,2016097,5,3,2
2016-04-14,2016098,4,1,4
2016-04-15,2016099,2,1,7
2016-04-16,2016100,5,5,1
2016-04-17,2016101,0,6,1
2016-04-18,2016102,2,8,2
2016-04-19,2016103,1,2,6
2016-04-20,2016104,9,0,0
2016-04-21,2016105,6,9,9
2016-04-22,2016106,0,4,3
2016-04-23,2016107,2,3,8
2016-04-24,2016108,4,8,0
2016-04-25,2016109,1,0,0
2016-04-26,2016110,6,5,0
2016-04-27,2016111,3,3,6
2016-04-28,2016112,3,4,0
2016-04-29,2016113,6,7,9
2016-04-30,2016114,9,8,1
2016-05-01,2016115,6,3,1
2016-05-02,2016116,4,2,5
2016-05-03,2016117,3,2,6
2016-05-04,2016118,7,0,3
2016-05-05,2016119,3,0,8
2016-05-06,2016120,9,3,6
2016-05-07,2016121,8,4,3
2016-05-08,2016122,7,6,2
2016-05-09,2016123,7,0,8
2016-05-10,2016124,9,1,4
2016-05-11,2016125,5,9,4
2016-05-12,2016126,1,3,4
2016-05-13,2016127,9,5,7
2016-05-14,2016128,1,2,3
2016-05-15,2016129,6,4,1
2016-05-16,2016130,8,6,2
2016-05-17,2016131,7,5,3
2016-05-18,2016132,4,5,3
2016-05-19,2016133,6,9,1
2016-05-20,2016134,1,0,7
2016-05-21,2016135,7,3,2
2016-05-22,2016136,6,1,9
2016-05-23,2016137,3,9,3
2016-05-24,2016138,5,6,0
2016-05-25,2016139,2,5,0
2016-05-26,2016140,7,8,7
2016-05-27,2016141,6,8,8
2016-05-28,2016142,4,3,5
2016-05-29,2016143,5,0,3
2016-05-30,2016144,6,2,5
2016-05-31,2016145,9,4,1
2016-06-01,2016146,7,6,1
2016-06-02,2016147,9,8,9
2016-06-03,2016148,8,1,3
2016-06-04,2016149,7,5,3
2016-06-05,2016150,9,1,2
2016-06-06,2016151,3,3,6
2016-06-07,2016152,4,9,8
2016-06-08,2016153,1,7,4
2016-06-09,2016154,8,3,9
2016-06-10,2016155,7,8,4
2016-06-11,2016156,2,7,8
2016-06-12,2016157,1,5,1
2016-06-13,2016158,9,2,0
2016-06-14,2016159,6,9,1
2016-06-15,2016160,0,1,7
2016-06-16,2016161,0,4,1
2016-06-17,2016162,6,3,4
2016-06-18,2016163,0,3,3
2016-06-19,2016164,2,7,3
2016-06-20,2016165,0,4,1
2016-06-21,2016166,3,9,6
2016-06-22,2016167,2,4,9
2016-06-23,2016168,1,1,9
2016-06-24,2016169,7,0,6
2016-06-25,2016170,9,0,9
2016-06-26,2016171,5,9,8
2016-06-27,2016172,3,2,3
2016-06-28,2016173,6,9,5
2016-06-29,2016174,0,0,7
2016-06-30,2016175,6,4,1
2016-07-01,2016176,7,1,2
2016-07-02,2016177,1,9,5
2016-07-03,2016178,2,4,4
2016-07-04,2016179,3,8,7
2016-07-05,2016180,6,5,9
2016-07-06,2016181,8,6,9
2016-07-07,2016182,4,8,9
2016-07-08,2016183,6,9,5
2016-07-09,2016184,7,0,3
2016-07-10,2016185,3,8,0
2016-07-11,2016186,6,1,8
2016-07-12,2016187,1,3,9
2016-07-13,2016188,0,9,9
2016-07-14,2016189,7,9,0
2016-07-15,2016190,8,2,3
2016-07-16,2016191,3,0,8
2016-07-17,2016192,6,6,1
2016-07-18,2016193,6,9,5
2016-07-19,2016194,4,0,7
2016-07-20,2016195,6,1,0
2016-07-21,2016196,9,0,7
2016-07-22,2016197,9,1,5
2016-07-23,2016198,3,0,3
2016-07-24,2016199,3,4,7
2016-07-25,2016200,9,3,2
2016-07-26,2016201,3,2,0
2016-07-27,2016202,7,8,4
2016-07-28,2016203,9,7,5
2016-07-29,2016204,3,2,9
2016-07-30,2016205,4,9,9
2016-07-31,2016206,1,7,3
2016-08-01,2016207,5,9,6
2016-08-02,2016208,9,5,0
2016-08-03,2016209,0,2,3
2016-08-04,2016210,2,7,9
2016-08-05,2016211,6,3,4
2016-08-06,2016212,0,3,8
2016-08-07,2016213,1,7,3
2016-08-08,2016214,9,4,2
2016-08-09,2016215,1,4,4
2016-08-10,2016216,3,3,4
2016-08-11,2016217,0,3,8
2016-08-12,2016218,2,3,3
2016-08-13,2016219,4,1,0
2016-08-14,2016220,3,6,7
2016-08-15,2016221,8,0,8
2016-08-16,2016222,4,0,4
2016-08-17,2016223,2,9,7
2016-08-18,2016224,2,7,8
2016-08-19,2016225,2,1,2
2016-08-20,2016226,2,8,9
2016-08-21,2016227,6,9,8
2016-08-22,2016228,1,8,8
2016-08-23,2016229,3,7,8
2016-08-24,2016230,4,9,7
2016-08-25,2016231,4,5,8
2016-08-26,2016232,1,3,2
2016-08-27,2016233,6,9,4
2016-08-28,2016234,2,0,4
2016-08-29,2016235,5,5,4
2016-08-30,2016236,8,9,1
2016-08-31,2016237,5,3,1
2016-09-01,2016238,0,3,7
2016-09-02,2016239,5,6,0
2016-09-03,2016240,0,8,7
2016-09-04,2016241,4,9,9
2016-09-05,2016242,3,9,5
2016-09-06,2016243,4,4,6
2016-09-07,2016244,6,9,9
2016-09-08,2016245,7,6,0
2016-09-09,2016246,3,1,9
2016-09-10,2016247,4,4,1
2016-09-11,2016248,1,3,9
2016-09-12,2016249,1,0,9
2016-09-13,2016250,4,1,6
2016-09-14,2016251,8,6,0
2016-09-15,2016252,0,5,2
2016-09-16,2016253,2,6,5
2016-09-17,2016254,5,6,4
2016-09-18,2016255,4,5,1
2016-09-19,2016256,6,2,8
2016-09-20,2016257,9,7,6
2016-09-21,2016258,2,6,6
2016-09-22,2016259,3,2,8
2016-09-23,2016260,0,6,1
2016-09-24,2016261,0,4,9
2016-09-25,2016262,6,5,9
2016-09-26,2016263,4,8,9
2016-09-27,2016264,8,9,8
2016-09-28,2016265,5,2,5
2016-09-29,2016266,9,1,4
2016-09-30,2016267,9,8,9
2016-10-01,2016268,1,0,5
2016-10-02,2016269,8,6,0
2016-10-03,2016270,4,1,1
2016-10-04,2016271,4,4,3
2016-10-05,2016272,3,7,3
2016-10-06,2016273,5,6,5
2016-10-07,2016274,8,8,3
2016-10-08,2016275,8,7,4
2016-10-09,2016276,2,7,7
2016-10-10,2016277,0,8,5
2016-10-11,2016278,4,3,5
2016-10-12,2016279,6,2,4
2016-10-13,2016280,3,7,8
2016-10-14,2016281,9,9,8
2016-10-15,2016282,6,2,6
2016-10-16,2016283,7,4,0
2016-10-17,2016284,1,4,3
2016-10-18,2016285,8,4,8
2016-10-19,2016286,9,0,7
2016-10-20,2016287,6,2,1
2016-10-21,2016288,0,1,0
2016-10-22,2016289,3,5,9
2016-10-23,2016290,4,3,0
2016-10-24,2016291,1,3,7
2016-10-25,2016292,5,0,7
2016-10-26,2016293,3,2,6
2016-10-27,2016294,3,3,4
2016-10-28,2016295,7,8,9
2016-10-29,2016296,7,8,4
2016-10-30,2016297,1,6,0
2016-10-31,2016298,6,5,1
2016-11-01,2016299,0,4,5
2016-11-02,2016300,8,0,5
2016-11-03,2016301,5,7,2
2016-11-04,2016302,6,5,6
2016-11-05,2016303,8,0,1
2016-11-06,2016304,8,5,6
2016-11-07,2016305,7,4,4
2016-11-08,2016306,0,7,3
2016-11-09,2016307,9,9,7
2016-11-10,2016308,7,4,3
2016-11-11,2016309,8,3,0
2016-11-12,2016310,0,4,5
2016-11-13,2016311,3,9,8
2016-11-14,2016312,1,1,3
2016-11-15,2016313,3,7,3
2016-11-16,2016314,1,5,7
2016-11-17,2016315,8,8,8
2016-11-18,2016316,7,7,4
