Date,PeriodNum,HDigit,TDigit,Digit
2018-07-13,2018187,8,0,7
2018-07-14,2018188,0,4,8
2018-07-15,2018189,7,6,0
2018-07-16,2018190,5,5,6
2018-07-17,2018191,5,0,3
2018-07-18,2018192,8,9,3
2018-07-19,2018193,0,6,1
2018-07-20,2018194,3,7,5
2018-07-21,2018195,7,3,6
2018-07-22,2018196,0,0,5
2018-07-23,2018197,1,5,0
2018-07-24,2018198,3,7,9
2018-07-25,2018199,5,1,0
2018-07-26,2018200,3,5,0
2018-07-27,2018201,6,1,5
2018-07-28,2018202,6,1,4
2018-07-29,2018203,0,4,5
2018-07-30,2018204,0,4,2
2018-07-31,2018205,4,1,8
2018-08-01,2018206,6,2,6
2018-08-02,2018207,7,5,6
2018-08-03,2018208,4,5,2
2018-08-04,2018209,9,5,0
2018-08-05,2018210,8,2,9
2018-08-06,2018211,6,2,8
2018-08-07,2018212,5,7,8
2018-08-08,2018213,2,0,3
2018-08-09,2018214,8,8,1
2018-08-10,2018215,4,2,5
2018-08-11,2018216,8,2,1
2018-08-12,2018217,5,8,7
2018-08-13,2018218,6,9,7
2018-08-14,2018219,3,9,1
2018-08-15,2018220,6,4,8
2018-08-16,2018221,0,1,4
2018-08-17,2018222,1,7,3
2018-08-18,2018223,4,9,9
2018-08-19,2018224,0,3,0
2018-08-20,2018225,1,6,0
2018-08-21,2018226,9,6,7
2018-08-22,2018227,9,7,7
2018-08-23,2018228,4,7,0
2018-08-24,2018229,5,5,6
2018-08-25,2018230,7,5,0
2018-08-26,2018231,6,2,9
2018-08-27,2018232,7,1,5
2018-08-28,2018233,5,7,9
2018-08-29,2018234,9,5,3
2018-08-30,2018235,8,2,8
2018-08-31,2018236,6,4,2
2018-09-01,2018237,6,3,1
2018-09-02,2018238,7,2,0
2018-09-03,2018239,7,4,9
2018-09-04,2018240,5,0,6
2018-09-05,2018241,2,1,5
2018-09-06,2018242,6,2,3
2018-09-07,2018243,6,3,9
2018-09-08,2018244,3,6,4
2018-09-09,2018245,3,5,1
2018-09-10,2018246,6,0,3
2018-09-11,2018247,6,2,6
2018-09-12,2018248,2,5,1
2018-09-13,2018249,6,3,6
2018-09-14,2018250,5,5,1
2018-09-15,2018251,9,8,3
2018-09-16,2018252,0,6,7
2018-09-17,2018253,0,9,8
2018-09-18,2018254,6,5,7
2018-09-19,2018255,2,8,9
2018-09-20,2018256,0,8,7
2018-09-21,2018257,0,9,4
2018-09-22,2018258,3,0,0
2018-09-23,2018259,0,1,0
2018-09-24,2018260,4,7,4
2018-09-25,2018261,8,0,9
2018-09-26,2018262,5,3,2
2018-09-27,2018263,8,1,3
2018-09-28,2018264,0,0,4
2018-09-29,2018265,6,4,8
