Date,PeriodNum,HDigit,TDigit,Digit
2017-01-01,2017001,3,6,9
2017-01-02,2017002,7,7,9
2017-01-03,2017003,6,5,0
2017-01-04,2017004,3,1,7
2017-01-05,2017005,2,4,6
2017-01-06,2017006,8,8,8
2017-01-07,2017007,7,8,3
2017-01-08,2017008,1,6,9
2017-01-09,2017009,2,0,2
2017-01-10,2017010,9,7,6
2017-01-11,2017011,9,0,9
2017-01-12,2017012,1,2,5
2017-01-13,2017013,5,8,2
2017-01-14,2017014,2,2,1
2017-01-15,2017015,9,5,0
2017-01-16,2017016,4,6,9
2017-01-17,2017017,8,1,7
2017-01-18,2017018,3,1,5
2017-01-19,2017019,6,0,6
2017-01-20,2017020,8,9,3
2017-01-21,2017021,8,5,4
2017-01-22,2017022,0,2,8
2017-01-23,2017023,2,5,0
2017-01-24,2017024,7,0,9
2017-01-25,2017025,3,5,9
2017-01-26,2017026,2,5,9
2017-02-03,2017027,8,7,3
2017-02-04,2017028,1,9,3
2017-02-05,2017029,2,7,2
2017-02-06,2017030,1,0,7
2017-02-07,2017031,3,7,6
2017-02-08,2017032,2,3,7
2017-02-09,2017033,1,1,4
2017-02-10,2017034,3,4,8
2017-02-11,2017035,6,2,4
2017-02-12,2017036,6,5,0
2017-02-13,2017037,8,9,7
2017-02-14,2017038,1,3,4
2017-02-15,2017039,3,9,5
2017-02-16,2017040,8,9,9
2017-02-17,2017041,4,8,0
2017-02-18,2017042,0,0,0
2017-02-19,2017043,0,5,0
2017-02-20,2017044,8,6,1
2017-02-21,2017045,6,7,9
2017-02-22,2017046,5,7,0
2017-02-23,2017047,9,4,5
2017-02-24,2017048,5,5,7
2017-02-25,2017049,0,3,6
2017-02-26,2017050,2,7,8
2017-02-27,2017051,7,0,2
2017-02-28,2017052,7,3,1
2017-03-01,2017053,6,5,2
2017-03-02,2017054,7,5,4
2017-03-03,2017055,2,7,6
2017-03-04,2017056,1,0,2
2017-03-05,2017057,2,4,2
2017-03-06,2017058,2,6,2
2017-03-07,2017059,1,4,3
2017-03-08,2017060,8,6,8
2017-03-09,2017061,4,5,4
2017-03-10,2017062,9,7,5
2017-03-11,2017063,8,6,4
2017-03-12,2017064,1,5,8
2017-03-13,2017065,5,7,7
2017-03-14,2017066,3,2,2
2017-03-15,2017067,6,4,4
2017-03-16,2017068,9,1,0
2017-03-17,2017069,5,1,8
2017-03-18,2017070,2,3,1
2017-03-19,2017071,8,8,2
2017-03-20,2017072,1,7,4
2017-03-21,2017073,0,7,5
2017-03-22,2017074,5,7,6
2017-03-23,2017075,7,8,7
2017-03-24,2017076,0,7,4
2017-03-25,2017077,0,2,0
2017-03-26,2017078,4,4,9
2017-03-27,2017079,4,8,7
2017-03-28,2017080,7,3,5
2017-03-29,2017081,1,2,9
2017-03-30,2017082,6,2,5
2017-03-31,2017083,1,0,5
2017-04-01,2017084,8,2,2
2017-04-02,2017085,5,6,0
2017-04-03,2017086,6,9,7
2017-04-04,2017087,3,7,7
2017-04-05,2017088,3,6,6
2017-04-06,2017089,5,1,8
2017-04-07,2017090,3,9,0
2017-04-08,2017091,3,4,1
2017-04-09,2017092,3,0,5
2017-04-10,2017093,8,4,0
2017-04-11,2017094,5,7,3
2017-04-12,2017095,5,9,3
2017-04-13,2017096,4,7,0
2017-04-14,2017097,7,4,9
2017-04-15,2017098,4,0,7
2017-04-16,2017099,0,4,6
2017-04-17,2017100,5,9,6
2017-04-18,2017101,8,0,9
2017-04-19,2017102,6,9,8
2017-04-20,2017103,3,5,0
2017-04-21,2017104,5,2,4
2017-04-22,2017105,4,2,1
2017-04-23,2017106,9,3,6
2017-04-24,2017107,7,2,5
2017-04-25,2017108,5,5,7
2017-04-26,2017109,4,8,8
2017-04-27,2017110,2,6,6
2017-04-28,2017111,3,3,1
2017-04-29,2017112,6,9,5
2017-04-30,2017113,7,4,5
2017-05-01,2017114,1,6,7
2017-05-02,2017115,1,6,0
2017-05-03,2017116,8,1,4
2017-05-04,2017117,7,3,1
2017-05-05,2017118,6,0,5
2017-05-06,2017119,5,0,9
2017-05-07,2017120,2,8,4
2017-05-08,2017121,4,3,9
2017-05-09,2017122,0,4,5
2017-05-10,2017123,0,0,8
2017-05-11,2017124,0,1,5
2017-05-12,2017125,8,7,8
2017-05-13,2017126,4,9,9
2017-05-14,2017127,6,2,3
2017-05-15,2017128,0,5,5
2017-05-16,2017129,5,6,6
2017-05-17,2017130,6,7,6
2017-05-18,2017131,4,8,2
2017-05-19,2017132,5,5,6
2017-05-20,2017133,9,2,0
2017-05-21,2017134,3,5,9
2017-05-22,2017135,0,7,7
2017-05-23,2017136,8,8,8
2017-05-24,2017137,1,1,9
2017-05-25,2017138,1,8,1
2017-05-26,2017139,6,9,5
2017-05-27,2017140,6,1,4
2017-05-28,2017141,1,1,5
2017-05-29,2017142,8,7,7
2017-05-30,2017143,6,9,8
2017-05-31,2017144,5,8,5
2017-06-01,2017145,9,4,5
2017-06-02,2017146,5,4,9
2017-06-03,2017147,2,9,9
2017-06-04,2017148,7,3,9
2017-06-05,2017149,7,3,9
2017-06-06,2017150,1,1,3
2017-06-07,2017151,0,7,6
2017-06-08,2017152,7,0,7
2017-06-09,2017153,6,0,8
2017-06-10,2017154,3,6,3
2017-06-11,2017155,9,3,5
2017-06-12,2017156,2,4,8
2017-06-13,2017157,1,7,3
2017-06-14,2017158,2,8,5
2017-06-15,2017159,8,7,2
2017-06-16,2017160,2,1,0
2017-06-17,2017161,7,9,7
2017-06-18,2017162,3,9,8
2017-06-19,2017163,0,0,8
2017-06-20,2017164,3,1,2
2017-06-21,2017165,3,3,3
2017-06-22,2017166,4,9,6
2017-06-23,2017167,4,7,1
2017-06-24,2017168,1,3,6
2017-06-25,2017169,8,5,4
2017-06-26,2017170,8,8,1
2017-06-27,2017171,3,4,6
2017-06-28,2017172,5,5,8
2017-06-29,2017173,6,9,4
2017-06-30,2017174,4,1,4
2017-07-01,2017175,0,0,1
2017-07-02,2017176,2,7,6
2017-07-03,2017177,9,7,5
2017-07-04,2017178,7,4,4
2017-07-05,2017179,1,5,9
2017-07-06,2017180,3,6,4
2017-07-07,2017181,5,6,9
2017-07-08,2017182,1,4,8
2017-07-09,2017183,9,9,4
2017-07-10,2017184,8,9,9
2017-07-11,2017185,2,2,8
2017-07-12,2017186,0,3,3
2017-07-13,2017187,6,1,3
2017-07-14,2017188,7,4,1
2017-07-15,2017189,5,6,2
2017-07-16,2017190,8,8,3
2017-07-17,2017191,5,6,7
2017-07-18,2017192,4,0,6
2017-07-19,2017193,3,5,2
2017-07-20,2017194,4,6,6
2017-07-21,2017195,6,8,6
2017-07-22,2017196,1,7,4
2017-07-23,2017197,6,8,1
2017-07-24,2017198,7,0,3
2017-07-25,2017199,3,6,7
2017-07-26,2017200,8,2,7
2017-07-27,2017201,3,5,8
2017-07-28,2017202,9,9,6
2017-07-29,2017203,0,7,0
2017-07-30,2017204,0,5,3
2017-07-31,2017205,7,7,0
2017-08-01,2017206,3,4,4
2017-08-02,2017207,3,3,1
2017-08-03,2017208,8,2,2
2017-08-04,2017209,3,5,4
2017-08-05,2017210,2,5,6
2017-08-06,2017211,1,2,4
2017-08-07,2017212,7,1,6
2017-08-08,2017213,9,8,6
2017-08-09,2017214,3,1,3
2017-08-10,2017215,3,6,9
2017-08-11,2017216,0,6,3
2017-08-12,2017217,8,1,2
2017-08-13,2017218,9,1,1
2017-08-14,2017219,5,1,3
2017-08-15,2017220,2,8,7
2017-08-16,2017221,8,5,7
2017-08-17,2017222,7,3,1
2017-08-18,2017223,7,7,8
2017-08-19,2017224,2,6,5
2017-08-20,2017225,8,0,1
2017-08-21,2017226,9,0,3
2017-08-22,2017227,8,8,5
2017-08-23,2017228,5,3,5
2017-08-24,2017229,7,0,7
2017-08-25,2017230,5,9,8
2017-08-26,2017231,7,4,8
2017-08-27,2017232,0,9,1
2017-08-28,2017233,9,5,2
2017-08-29,2017234,8,9,5
2017-08-30,2017235,3,6,2
2017-08-31,2017236,9,3,7
2017-09-01,2017237,1,3,5
2017-09-02,2017238,5,1,7
2017-09-03,2017239,3,8,9
2017-09-04,2017240,5,9,1
2017-09-05,2017241,6,6,4
2017-09-06,2017242,2,3,7
2017-09-07,2017243,7,5,1
2017-09-08,2017244,0,4,8
2017-09-09,2017245,2,8,4
2017-09-10,2017246,7,7,8
2017-09-11,2017247,3,7,0
2017-09-12,2017248,8,5,6
2017-09-13,2017249,3,0,2
2017-09-14,2017250,1,4,2
2017-09-15,2017251,9,5,1
2017-09-16,2017252,3,8,7
2017-09-17,2017253,3,2,6
2017-09-18,2017254,6,3,9
2017-09-19,2017255,5,2,1
2017-09-20,2017256,3,6,2
2017-09-21,2017257,2,3,4
2017-09-22,2017258,3,6,1
2017-09-23,2017259,4,8,1
2017-09-24,2017260,0,9,5
2017-09-25,2017261,6,8,6
2017-09-26,2017262,9,1,2
2017-09-27,2017263,6,7,2
2017-09-28,2017264,9,3,3
2017-09-29,2017265,3,7,2
2017-09-30,2017266,2,0,3
2017-10-01,2017267,7,7,0
2017-10-02,2017268,5,7,8
2017-10-03,2017269,9,3,8
2017-10-04,2017270,1,3,5
2017-10-05,2017271,4,2,8
2017-10-06,2017272,9,3,4
2017-10-07,2017273,2,6,7
2017-10-08,2017274,9,4,4
2017-10-09,2017275,8,9,8
2017-10-10,2017276,8,8,7
2017-10-11,2017277,5,5,7
2017-10-12,2017278,9,0,2
2017-10-13,2017279,4,5,3
2017-10-14,2017280,6,5,8
2017-10-15,2017281,6,0,9
2017-10-16,2017282,5,6,8
2017-10-17,2017283,3,5,5
2017-10-18,2017284,1,3,1
2017-10-19,2017285,4,3,4
2017-10-20,2017286,5,1,2
2017-10-21,2017287,2,8,5
2017-10-22,2017288,3,0,0
2017-10-23,2017289,2,3,6
2017-10-24,2017290,2,8,5
2017-10-25,2017291,7,6,5
2017-10-26,2017292,7,1,5
2017-10-27,2017293,6,6,9
2017-10-28,2017294,7,5,7
2017-10-29,2017295,7,2,3
2017-10-30,2017296,9,5,9
2017-10-31,2017297,4,6,2
2017-11-01,2017298,2,1,8
2017-11-02,2017299,9,2,1
2017-11-03,2017300,0,5,0
2017-11-04,2017301,3,9,1
2017-11-05,2017302,2,4,1
2017-11-06,2017303,4,9,7
2017-11-07,2017304,1,0,9
2017-11-08,2017305,4,2,0
2017-11-09,2017306,8,1,7
2017-11-10,2017307,5,1,7
2017-11-11,2017308,7,1,0
2017-11-12,2017309,8,7,9
2017-11-13,2017310,1,3,6
2017-11-14,2017311,9,7,9
2017-11-15,2017312,1,1,4
2017-11-16,2017313,2,3,2
2017-11-17,2017314,3,0,0
2017-11-18,2017315,7,9,1
2017-11-19,2017316,7,2,3
2017-11-20,2017317,7,7,1
2017-11-21,2017318,8,5,6
2017-11-22,2017319,1,0,5
2017-11-23,2017320,5,4,3
2017-11-24,2017321,1,8,8
2017-11-25,2017322,4,1,9
2017-11-26,2017323,2,8,0
2017-11-27,2017324,6,3,7
2017-11-28,2017325,4,0,6
2017-11-29,2017326,4,9,0
2017-11-30,2017327,3,5,1
2017-12-01,2017328,0,3,0
2017-12-02,2017329,9,1,3
2017-12-03,2017330,4,3,0
2017-12-04,2017331,7,8,2
2017-12-05,2017332,8,0,4
2017-12-06,2017333,4,4,2
2017-12-07,2017334,9,0,5
2017-12-08,2017335,7,0,5
2017-12-09,2017336,7,7,5
2017-12-10,2017337,4,4,4
2017-12-11,2017338,9,0,1
2017-12-12,2017339,8,5,3
2017-12-13,2017340,7,1,4
2017-12-14,2017341,1,6,2
2017-12-15,2017342,9,6,0
2017-12-16,2017343,8,6,1
2017-12-17,2017344,6,9,8
2017-12-18,2017345,1,7,3
2017-12-19,2017346,8,6,1
2017-12-20,2017347,6,6,6
2017-12-21,2017348,3,1,1
2017-12-22,2017349,5,3,7
2017-12-23,2017350,7,2,6
2017-12-24,2017351,1,0,9
2017-12-25,2017352,8,5,5
2017-12-26,2017353,0,9,4
2017-12-27,2017354,2,9,4
2017-12-28,2017355,0,3,1
2017-12-29,2017356,6,4,7
2017-12-30,2017357,6,6,5
2017-12-31,2017358,6,1,2
